fase,gnero,anoingresso,instituiodeensino,inde22,iaa,ieg,ips,ida,matem,portug,ingls,ipv,ian,defas,ano,inde23,ipp,mat,por,ing,defasagem,escola,ativoinativo,ativoinativo1,aluno_id,risco_defasagem,ida_ieg_interaction,ipp_ips_interaction,ida_ieg_ratio,mean_indicators,ida_lag1,ieg_lag1,ips_lag1,ida_delta,ieg_delta,gnero_encoded,fase_encoded
3C,Masculino,2023,Pública,,10.002,4.849791144666667,6.25,3.0,,,,5.88,5.0,,2024,6.9547,6.041666667,4.5,4.5,0.0,-1.0,EE Paschoal Carlos Magno,Cursando,Cursando,RA-1097,1,14.549373434,37.760416668750004,0.6184558169028636,6.003909635277779,5.4,8.6,5.0,-2.4000000000000004,-3.750208855333333,1,30
FASE 2,Feminino,2023,Pública,,9.5,9.5,2.52,6.4,,,,7.92,5.0,,2023,,8.125,6.3,6.5,,-1.0,,,,RA-1098,1,60.800000000000004,20.475,0.6736133038627513,7.327500000000001,,,,,,0,72
3D,Feminino,2023,Pública,,8.751,5.822406257,7.51,3.5,,,,6.7475,10.0,,2024,7.2787,7.34375,1.0,3.5,6.0,0.0,EE Alexandre Rodrigues Nogueira,Cursando,Cursando,RA-1098,0,20.3784218995,55.1515625,0.6010228113130249,6.612442709500001,6.4,9.5,2.52,-2.9000000000000004,-3.677593743,0,31
FASE 2,Feminino,2023,Pública,,9.0,9.6,2.52,5.2,,,,8.34,5.0,,2023,,8.333333333,5.7,4.7,,-1.0,,,,RA-1099,1,49.92,20.99999999916,0.541610248932403,7.165555555499999,,,,,,0,72
3G,Feminino,2023,Pública,,8.334,8.133333333333333,10.0,3.8333333333333335,,,,6.6225,10.0,,2024,7.113533333,7.8125,2.5,3.5,5.5,0.0,EE Leonice de Aquino Oliveira,Cursando,Cursando,RA-1099,0,31.177777777777777,78.125,0.4712535344015081,7.455944444444445,5.2,9.6,2.52,-1.3666666666666667,-1.4666666666666668,0,33
NAO_INFORMADO,Feminino,2016,Escola Pública,5.323,9.2,4.2,5.0,3.0,1.8,2.5,4.5,6.389,5.0,-1.0,2022,,,,,,,,,,RA-11,1,12.600000000000001,,0.714115686741252,5.557799999999999,,,,,,0,79
NAO_INFORMADO,Masculino,2017,Rede Decisão,8.15,9.2,9.7,5.6,6.7,8.3,5.7,6.0,8.0,10.0,0.0,2022,,,,,,,,,,RA-110,0,64.99,,0.6906504484073808,7.840000000000001,,,,,,1,79
FASE 5,Masculino,2017,Privada - Programa de Apadrinhamento,8.15,8.3,8.6,5.0,7.5,,,,8.2975,10.0,,2023,,8.75,8.3,6.2,8.0,0.0,,,,RA-110,0,64.5,43.75,0.8719916288803629,7.741250000000001,6.7,9.7,5.6,0.7999999999999998,-1.0999999999999996,1,75
5A,Masculino,2021,Privada - Programa de Apadrinhamento,8.149929726333543,9.168,9.696969697,6.255,8.5,,,,8.504,10.0,,2024,8.0879,7.5,10.0,7.0,8.5,0.0,Colégio Arco Íris Evolução,Cursando,Cursando,RA-110,0,82.4242424245,46.9125,0.8764721138105244,8.270661616166667,7.5,8.6,5.0,1.0,1.0969696970000005,1,52
FASE 2,Masculino,2023,Pública,,10.0,9.2,5.0,7.1,,,,8.283333333,10.0,,2023,,8.541666667,6.3,7.8,,0.0,,,,RA-1100,0,65.32,42.708333335,0.7716552548636019,8.020833333333334,,,,,,1,72
3G,Masculino,2023,Pública,,7.5,7.1000000000000005,7.51,4.666666666666667,,,,5.6175,10.0,,2024,8.261033333,6.71875,4.0,4.0,6.0,1.0,EE João Ortiz Rodrigues,Cursando,Cursando,RA-1100,0,33.13333333333334,50.457812499999996,0.6571844341172605,6.518819444444445,7.1,9.2,5.0,-2.4333333333333327,-2.0999999999999988,1,33
