ra,fase,turma,nome,anonasc,idade22,gnero,anoingresso,instituiodeensino,pedra20,pedra21,pedra22,inde22,cg,cf,ct,nav,avaliador1,recav1,avaliador2,recav2,avaliador3,recav3,avaliador4,recav4,iaa,ieg,ips,recpsicologia,ida,matem,portug,ingls,indicado,atingiupv,ipv,ian,faseideal,defas,destaqueieg,destaqueida,destaqueipv,ano,inde2023,fase_pedra_ano,nomeanonimizado,datadenasc,idade,pedra23,inde23,ipp,mat,por,ing,defasagem,destaqueipv1,inde2024,avaliador5,avaliador6,escola,ativoinativo,ativoinativo1,aluno_id
RA-1,,A,Aluno-1,2003.0,19.0,Menina,2016,Escola Pública,Ametista,Ametista,Quartzo,5.783,753.0,18.0,10.0,4.0,Avaliador-5,Mantido na Fase atual,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Mantido na Fase atual,8.3,4.1,5.6,Requer avaliação,4.0,2.7,3.5,6.0,Sim,Não,7.278,5.0,Fase 8 (Universitários),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-1
RA-2,,A,Aluno-2,2005.0,17.0,Menina,2017,Rede Decisão,Ametista,Ametista,Ametista,7.055,469.0,8.0,3.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.8,5.2,6.3,Sem limitações,6.8,6.3,4.5,9.7,Não,Não,6.778,10.0,Fase 7 (3º EM),0.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-2
RA-3,,A,Aluno-3,2005.0,17.0,Menina,2016,Rede Decisão,Ametista,Ametista,Ágata,6.591,629.0,13.0,6.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,0.0,7.9,5.6,Sem limitações,5.6,5.8,4.0,6.9,Não,Não,7.556,10.0,Fase 7 (3º EM),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-3
RA-4,,A,Aluno-4,2005.0,17.0,Menino,2017,Rede Decisão,Ametista,Ametista,Quartzo,5.951,731.0,15.0,7.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,8.8,4.5,5.6,Requer avaliação,5.0,2.8,3.5,8.7,Não,Não,5.278,10.0,Fase 7 (3º EM),0.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-4
RA-5,,A,Aluno-5,2005.0,17.0,Menina,2016,Rede Decisão,Ametista,Ametista,Ametista,7.427,344.0,6.0,2.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,7.9,8.6,5.6,Requer avaliação,5.2,7.0,2.9,5.7,Não,Não,7.389,10.0,Fase 7 (3º EM),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-5
RA-6,,A,Aluno-6,2004.0,18.0,Menina,2021,Escola Pública,,Ágata,Quartzo,5.848,745.0,16.0,8.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,4.5,7.5,Sem limitações,3.3,2.3,5.3,2.3,Sim,Não,7.222,5.0,Fase 8 (Universitários),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-6
RA-7,,A,Aluno-7,2004.0,18.0,Menino,2017,Rede Decisão,Ametista,Ametista,Ágata,6.818,550.0,11.0,5.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,0.0,8.4,7.5,Sem limitações,7.6,8.2,5.7,9.0,Não,Não,7.667,5.0,Fase 8 (Universitários),-1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-7
RA-8,,A,Aluno-8,2002.0,20.0,Menina,2018,Escola Pública,Quartzo,Ágata,Quartzo,4.786,836.0,21.0,13.0,4.0,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,7.1,4.6,6.3,Requer avaliação,1.6,1.2,0.7,2.9,Não,Não,6.278,5.0,Fase 8 (Universitários),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-8
RA-9,,A,Aluno-9,2004.0,18.0,Menina,2019,Escola Pública,Ametista,Ametista,Topázio,8.109,113.0,1.0,1.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase + Bolsa,8.8,9.5,7.5,Sem limitações,6.7,5.5,6.0,8.7,Sim,Sim,9.5,5.0,Fase 8 (Universitários),-1.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-9
RA-10,,A,Aluno-10,2004.0,18.0,Menina,2021,Escola Pública,,Ágata,Quartzo,5.784,752.0,17.0,9.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,8.3,5.2,5.0,Requer avaliação,4.1,3.3,2.6,6.4,Não,Não,7.056,5.0,Fase 8 (Universitários),-1.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,RA-10
