Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.6619964973730298,0.6682242990654206,0.8486646884272997,0.7477124183006536,0.6864110172715513
Random Forest,0.681260945709282,0.6773455377574371,0.8783382789317508,0.7648578811369509,0.7083999086966446
Gradient Boosting,0.7005253940455342,0.7075,0.8397626112759644,0.76797829036635,0.7187983463947857
